mission;date_time_open;date_time_close;latitude;longitude;chla_concentration_ug_m2_d;TPM_mg_m2_d;POC_mg_m2_d;FPC_mgC_m2_d;diatoms_cells_m2_d;PI
Amundsen_2016;6/15/2016 06:00:00;6/17/2016 06:00:00;68.585;-59.924;81.5;315.2;38.8;4.6;25065720;Lalande C.
Amundsen_2016;6/17/2016 06:00:00;6/19/2016 06:00:00;68.352;-59.813;85.2;277.5;62.4;17.2;27154440;Lalande C.
Amundsen_2016;6/19/2016 06:00:00;6/21/2016 06:00:00;68.473;-59.696;72.6;518.3;81.3;19.4;18297360;Lalande C.
Amundsen_2016;6/21/2016 06:00:00;6/23/2016 06:00:00;68.483;-59.68;134.2;1255.4;139.3;25.1;48841920;Lalande C.
Amundsen_2016;6/23/2016 06:00:00;6/25/2016 06:00:00;68.525;-59.924;99.6;1319.8;140.8;23.7;23775120;Lalande C.
Amundsen_2016;6/25/2016 06:00:00;6/27/2016 06:00:00;68.733;-59.631;72.5;1107.1;176.1;28.3;36963000;Lalande C.
Amundsen_2016;6/27/2016 06:00:00;6/29/2016 06:00:00;68.722;-59.729;41.6;1094;150.2;9.4;19041480;Lalande C.
Amundsen_2016;6/29/2016 06:00:00;07/01/2016 06:00;68.653;-59.681;40.2;636;72.5;7.2;23834520;Lalande C.
Amundsen_2016;07/01/2016 06:00;07/03/2016 06:00;68.433;-59.647;89.9;1264.9;173.1;11.5;28161000;Lalande C.
Amundsen_2016;07/03/2016 06:00;07/05/2016 06:00;68.411;-59.732;27.1;332.5;41.7;3.2;5307120;Lalande C.
Amundsen_2016;07/05/2016 06:00;07/07/2016 06:00;68.072;-60.054;1063.4;482.2;133;2.1;143481240;Lalande C.
Amundsen_2016;07/07/2016 06:00;07/09/2016 06:00;67.677;-59.902;30.1;335.2;31.1;3.4;6550200;Lalande C.
